CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
    LINK r63-sw-arm-2-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-2-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-2-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP tac-loadout | Squad Weapons | min=1 field=selections scope=parent; max=1 field=selections scope=parent
    ENTRY load-standard | Bolters + Bolt Pistols | cost= | 
    ENTRY load-add-chainswords | Bolters + Bolt Pistols + Chainswords (+2 pts/model) | cost=2 | 
    ENTRY load-exchange | Exchange Bolters for Chainswords (Free) | cost= | 
  GROUP tac-heavy-weapons | Heavy Weapons | max=1 field=selections scope=parent
    LINK hv-hb | Heavy Bolter -> gear-heavy-bolter | max=2 field=selections scope=parent
    LINK hv-ml | Missile Launcher -> gear-missile | max=2 field=selections scope=parent
    LINK hv-ac | Autocannon -> gear-autocannon | max=2 field=selections scope=parent
    LINK hv-mm | Multi-Melta -> gear-multimelta | max=2 field=selections scope=parent
    LINK hv-pc | Plasma Cannon -> gear-plasma-cannon | max=2 field=selections scope=parent
    LINK hv-lc | Lascannon -> gear-lascannon | max=2 field=selections scope=parent
    LINK da22-alt-pc-0 | Calibanite Plasma Cannon -> da22-plasma-cannon | max=2 field=selections scope=parent
  GROUP tac-special-weapons | Special Weapons | max=2 field=selections scope=parent
    LINK sp-f | Flamer -> gear-flamer | max=4 field=selections scope=parent
    LINK sp-m | Meltagun -> gear-meltagun | max=4 field=selections scope=parent
    LINK sp-p | Plasma Gun -> gear-plasma-gun | max=4 field=selections scope=parent
    LINK sp-vc | Volkite Charger -> gear-volkite-charger | max=4 field=selections scope=parent
    LINK sp-vcal | Volkite Caliver -> gear-volkite-caliver | max=4 field=selections scope=parent
    LINK sp-r | Rotor Cannon -> gear-rotor | max=4 field=selections scope=parent
    LINK da22-alt-pg-0 | Calibanite Plasma Gun -> da22-plasma-gun | max=4 field=selections scope=parent
    LINK da22-alt-pr-0 | Plasma Repeater -> da22-plasma-repeater | max=4 field=selections scope=parent
    LINK da22-alt-pb-0 | Plasma Burner -> da22-plasma-burner | max=4 field=selections scope=parent
  GROUP r37-spear-tac-transport | Land Raider Dedicated Transport (Armoured Spearhead) | max=1 field=selections scope=parent
    ENTRY r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | cost=250 | max=1 field=selections scope=parent
    ENTRY r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | cost=200 | max=1 field=selections scope=parent
    ENTRY r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | cost=275 | max=1 field=selections scope=parent
  GROUP r40-da-ammo-tactical-unit | Dark Angels Armoury — Ammunition | 
    LINK r40-da-ammo-tactical-unit-hv-hb | Molecular Acid Shells (for Heavy Bolter) -> da22-acid-hb | max=2 field=selections scope=parent
    LINK r40-da-ammo-tactical-unit-hv-ml | Stasis Shells — Missile (for Missile Launcher) -> da22-stasis-missile | max=2 field=selections scope=parent
  GROUP r40-da-steel-transport-tactical-unit | Steel Fist — Armoured Assault Dedicated Transport | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-tactical-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | cost=250 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-tactical-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | cost=200 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-tactical-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | cost=305 | 
  GROUP r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-replace | Main Weapon Replacements | 
    ENTRY r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-laser | Two Laser Destroyers (replace both Quad Lascannons) | cost= | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-hf | Twin-linked Heavy Flamer (replaces Twin-linked Heavy Bolter) -> hsgear-tl-heavy-flamer | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-pintle | Pintle-mounted Weapon | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p0 | Twin-linked Bolter -> gear-tl-bolter | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p1 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p2 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p3 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p4 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p5 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p6 | Heavy Bolter -> gear-heavy-bolter | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p7 | Heavy Flamer -> gear-heavy-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p8 | Multi-Melta -> gear-multimelta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-hs-spartan-p9 | Havoc Launcher -> gear-havoc | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-tactical-unit-hs-spartan-r40-da-ammo-hs-spartan | Dark Angels Armoury — Ammunition | 
    LINK r40-da-steel-transport-tactical-unit-hs-spartan-r40-da-ammo-hs-spartan-hs-spartan-p6 | Molecular Acid Shells (for Heavy Bolter) -> da22-acid-hb | max=1 field=selections scope=parent
  GROUP r49-legion-upgrades-tactical-unit | Legion Wargear & Upgrades | 
    LINK r43-tactical-unit-ec-apoth | Sergeant upgraded to Apothecary -> r43-ec-line-apothecary | max=1 field=selections scope=parent
    LINK r43-tactical-unit-ec-reductor | Reductor -> r43-ec-reductor | max=1 field=selections scope=parent
    LINK r44-tactical-unit-nl-stealth | Stealth Adept — unit -> r44-nl-stealth-unit | max=1 field=selections scope=parent
    LINK r44-tactical-unit-nl-kraken | Kraken Light Bolts -> r44-nl-kraken-bolts | max=1 field=selections scope=parent
    LINK r44-tactical-unit-ih-grav | Graviton Gun instead of Flamer -> r44-ih-graviton-substitution | max=1 field=selections scope=parent
    LINK r45-tactical-unit-we-chain | Chainaxe -> r45-we-chainaxe | max=1 field=selections scope=parent
    LINK r45-tactical-unit-dg-alchem | Alchem Flamer replacement -> r45-dg-alchem-flamer | max=1 field=selections scope=parent
    LINK r45-tactical-ts-brother | Brotherhood of Psykers (20-model Tactical Squad) -> r45-ts-tactical-brotherhood | max=1 field=selections scope=parent
    LINK r46-tactical-unit-wb-hex | Hex-Bolts -> r46-wb-hex-bolts | max=1 field=selections scope=parent
    LINK r46-tactical-unit-wb-dark | Dark Channelling -> r46-wb-dark-channelling | max=1 field=selections scope=parent
    LINK r46-tactical-unit-sal-heavyflame | Heavy Flamer instead of Flamer -> r46-sal-heavy-flamer | max=1 field=selections scope=parent
    LINK r46-tactical-unit-sal-artificer | Artificer Armour — Salamanders access -> r46-sal-artificer-armour | max=1 field=selections scope=parent
    LINK r47-tactical-unit-ih-bionics | Bionics — unit model -> r47-ih-bionics-model | max=20 field=selections scope=parent
    LINK r47-tactical-unit-ih-bionics-sgt | Bionics — Veteran Sergeant -> r47-ih-bionics-veteran-sergeant | max=1 field=selections scope=parent
    LINK r47-tactical-unit-ih-splinter | Splinter Bolts -> r47-ih-splinter-bolts | max=1 field=selections scope=parent
  GROUP r57-tactical-unit-iw | Iron Warriors Armoury | 
    ENTRY r57-tactical-unit-iw-shrapnel | Shrapnel Bolts | cost=5 | max=1 field=selections scope=parent
    ENTRY r57-tactical-unit-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-tactical-unit-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
ENTRY breacher-unit | Legion Breacher Siege Squad
  GROUP breacher-sgt-unit-wargear | Sergeant Wargear | 
    LINK breacher-sgt-charge | Breaching Charge -> gear-breaching-charge | max=1 field=selections scope=parent
    LINK breacher-sgt-melta | Melta Bombs -> gear-melta-bombs | max=1 field=selections scope=parent
    LINK r39-phosphex-breacher-sgt-unit-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
  GROUP breacher-sgt-armoury | Additional Sergeant Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r39-phosphex-breacher-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-7-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-7-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-7-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-7-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-7-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP breacher-sgt-armoury-weapons | Additional Armoury Weapon (replaces one carried weapon) | max=1 field=selections scope=parent
    LINK r39-phosphex-breacher-sgt-armoury-weapons | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-8-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-8-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-8-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-8-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-8-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP breacher-sgt-armoury-single | Single-Handed Weapons | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-lc | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-pf | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-pw | Power Weapon -> gear-power-weapon | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-rw | Rending Weapon -> gear-rending | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-th | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK r39-phosphex-breacher-sgt-armoury-single | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r40-da-warblade-breacher-sgt-arm-pw | Calibanite Warblade -> da22-warblade | max=1 field=selections scope=parent
    LINK r63-sw-arm-9-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-9-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-9-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-9-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-9-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP breacher-sgt-armoury-two | Two-Handed Weapons | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-cb | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK breacher-sgt-arm-sb | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK r39-phosphex-breacher-sgt-armoury-two | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-10-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-10-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-10-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-10-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-10-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP breacher-sgt-armoury-wargear | Wargear | 
    LINK breacher-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK breacher-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK breacher-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK breacher-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r39-phosphex-breacher-sgt-armoury-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-11-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-11-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-11-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-11-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-11-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP breacher-squad-wargear | Squad-wide Wargear | 
    LINK breacher-squad-melta | Melta Bombs (+5 pts/model) -> gear-melta-bombs | max=1 field=selections scope=parent
    LINK breacher-squad-krak | Krak Grenades (+2 pts/model) -> gear-krak | max=1 field=selections scope=parent
  GROUP breacher-specialists | Specialist Weapons (1 per 5 models) | max=2 field=selections scope=parent
    LINK breacher-sp-vc | Volkite Charger (replaces Bolter) -> gear-volkite-charger | max=4 field=selections scope=parent
    LINK breacher-sp-vcal | Volkite Caliver (replaces Bolter) -> gear-volkite-caliver | max=4 field=selections scope=parent
    LINK breacher-sp-rotor | Rotor Cannon (replaces Bolter) -> gear-rotor | max=4 field=selections scope=parent
    LINK breacher-sp-flamer | Flamer (replaces Bolter) -> gear-flamer | max=4 field=selections scope=parent
    LINK breacher-sp-melta | Meltagun (replaces Bolter) -> gear-meltagun | max=4 field=selections scope=parent
    LINK breacher-sp-plasma | Plasma Gun (replaces Bolter) -> gear-plasma-gun | max=4 field=selections scope=parent
    LINK breacher-sp-lascutter | Lascutter (replaces Bolter) -> gear-lascutter | max=4 field=selections scope=parent
    LINK breacher-sp-grav | Graviton Gun (replaces Bolter) -> gear-graviton-gun | max=4 field=selections scope=parent
    LINK da22-alt-pg-1 | Calibanite Plasma Gun -> da22-plasma-gun | max=4 field=selections scope=parent
    LINK da22-alt-pr-1 | Plasma Repeater -> da22-plasma-repeater | max=4 field=selections scope=parent
    LINK da22-alt-pb-1 | Plasma Burner -> da22-plasma-burner | max=4 field=selections scope=parent
  GROUP r40-da-steel-transport-breacher-unit | Steel Fist — Armoured Assault Dedicated Transport | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-breacher-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | cost=250 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-breacher-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | cost=200 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-breacher-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | cost=305 | 
  GROUP r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-replace | Main Weapon Replacements | 
    ENTRY r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-laser | Two Laser Destroyers (replace both Quad Lascannons) | cost= | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-hf | Twin-linked Heavy Flamer (replaces Twin-linked Heavy Bolter) -> hsgear-tl-heavy-flamer | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-pintle | Pintle-mounted Weapon | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p0 | Twin-linked Bolter -> gear-tl-bolter | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p1 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p2 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p3 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p4 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p5 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p6 | Heavy Bolter -> gear-heavy-bolter | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p7 | Heavy Flamer -> gear-heavy-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p8 | Multi-Melta -> gear-multimelta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-hs-spartan-p9 | Havoc Launcher -> gear-havoc | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-breacher-unit-hs-spartan-r40-da-ammo-hs-spartan | Dark Angels Armoury — Ammunition | 
    LINK r40-da-steel-transport-breacher-unit-hs-spartan-r40-da-ammo-hs-spartan-hs-spartan-p6 | Molecular Acid Shells (for Heavy Bolter) -> da22-acid-hb | max=1 field=selections scope=parent
  GROUP r49-legion-upgrades-breacher-unit | Legion Wargear & Upgrades | 
    LINK r44-breacher-unit-ih-grav | Graviton Gun instead of Flamer -> r44-ih-graviton-substitution | max=1 field=selections scope=parent
    LINK r45-breacher-unit-we-chain | Chainaxe -> r45-we-chainaxe | max=1 field=selections scope=parent
    LINK r45-breacher-unit-dg-alchem | Alchem Flamer replacement -> r45-dg-alchem-flamer | max=1 field=selections scope=parent
    LINK r46-breacher-unit-wb-hex | Hex-Bolts -> r46-wb-hex-bolts | max=1 field=selections scope=parent
    LINK r46-breacher-unit-wb-dark | Dark Channelling -> r46-wb-dark-channelling | max=1 field=selections scope=parent
    LINK r46-breacher-unit-sal-artificer | Artificer Armour — Salamanders access -> r46-sal-artificer-armour | max=1 field=selections scope=parent
    LINK r47-breacher-unit-ih-bionics | Bionics — unit model -> r47-ih-bionics-model | max=20 field=selections scope=parent
    LINK r47-breacher-unit-ih-bionics-sgt | Bionics — Veteran Sergeant -> r47-ih-bionics-veteran-sergeant | max=1 field=selections scope=parent
    LINK r47-breacher-unit-ih-splinter | Splinter Bolts -> r47-ih-splinter-bolts | max=1 field=selections scope=parent
  GROUP r57-breacher-unit-iw | Iron Warriors Armoury | 
    ENTRY r57-breacher-unit-iw-shrapnel | Shrapnel Bolts | cost=5 | max=1 field=selections scope=parent
    ENTRY r57-breacher-unit-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-breacher-unit-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
ENTRY veteran-unit | Legion Veteran Squad
  GROUP veteran-melee | Close Combat Weapon Replacements | max=5 field=selections scope=parent
    LINK veteran-melee-chainaxe | Chainaxe (replaces Chainsword) -> gear-hq-chainaxe | max=10 field=selections scope=parent
    LINK veteran-melee-rending | Rending Weapon (replaces Chainsword) -> gear-rending | max=10 field=selections scope=parent
    LINK veteran-melee-power | Power Weapon (replaces Chainsword) -> gear-power-weapon | max=10 field=selections scope=parent
    LINK r40-da-warblade-veteran-melee-power | Calibanite Warblade -> da22-warblade | max=10 field=selections scope=parent
  GROUP veteran-individual | Individual Wargear | 
    ENTRY veteran-jump-packs | Jump Packs (+15 pts/model) | cost=75 | max=1 field=selections scope=parent
    ENTRY r35-assault-jp-veteran-jump-packs | Jump Packs (Legion Assault Company — +10 pts/model) | cost=50 | max=1 field=selections scope=parent
    LINK veteran-shields | Combat Shield (per model) -> gear-combat-shield | max=5 field=selections scope=parent
    LINK veteran-bombs | Melta Bombs (per model) -> gear-melta-bombs | max=5 field=selections scope=parent
    LINK veteran-krak | Krak Grenades (+2 pts/model) -> gear-krak | max=1 field=selections scope=parent
  GROUP veteran-specialists | Specialist Weapons (1 per 5 models) | max=1 field=selections scope=parent
    LINK veteran-sp-rotor | Rotor Cannon (replaces Bolter) -> gear-rotor | max=2 field=selections scope=parent
    LINK veteran-sp-flamer | Flamer (replaces Bolter) -> gear-flamer | max=2 field=selections scope=parent
    LINK veteran-sp-melta | Meltagun (replaces Bolter) -> gear-meltagun | max=2 field=selections scope=parent
    LINK veteran-sp-plasma | Plasma Gun (replaces Bolter) -> gear-plasma-gun | max=2 field=selections scope=parent
    LINK veteran-sp-vc | Volkite Charger (replaces Bolter) -> gear-volkite-charger | max=2 field=selections scope=parent
    LINK veteran-sp-vcal | Volkite Caliver (replaces Bolter) -> gear-volkite-caliver | max=2 field=selections scope=parent
    LINK veteran-sp-hf | Heavy Flamer with Suspensor Web (replaces Bolter) -> gear-heavy-flamer-susp | max=2 field=selections scope=parent
    LINK veteran-sp-hb | Heavy Bolter with Suspensor Web (replaces Bolter) -> gear-heavy-bolter-susp | max=2 field=selections scope=parent
    LINK veteran-sp-ml | Missile Launcher with Suspensor Web (replaces Bolter) -> gear-missile-susp | max=2 field=selections scope=parent
    LINK da22-alt-pg-2 | Calibanite Plasma Gun -> da22-plasma-gun | max=2 field=selections scope=parent
    LINK da22-alt-pr-2 | Plasma Repeater -> da22-plasma-repeater | max=2 field=selections scope=parent
    LINK da22-alt-pb-2 | Plasma Burner -> da22-plasma-burner | max=2 field=selections scope=parent
  GROUP veteran-sgt-armoury | Legion Veteran Sergeant — Additional Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK veteran-sgt-hf | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK veteran-sgt-lc | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK veteran-sgt-pair | Pair of Lightning Claws -> gear-pair-claws | max=1 field=selections scope=parent
    LINK veteran-sgt-pp | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK veteran-sgt-pf | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK veteran-sgt-th | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK veteran-sgt-vs | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK veteran-sgt-cb | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK veteran-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK veteran-sgt-sb | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK veteran-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK veteran-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK veteran-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK veteran-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK da22-alt-pp-5 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
    LINK rev24-veteran-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r39-phosphex-veteran-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-15-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-15-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-15-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-15-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-15-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP r37-spear-veteran-transport | Land Raider Dedicated Transport (Armoured Spearhead) | max=1 field=selections scope=parent
    ENTRY r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | cost=250 | max=1 field=selections scope=parent
    ENTRY r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | cost=200 | max=1 field=selections scope=parent
    ENTRY r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | cost=275 | max=1 field=selections scope=parent
  GROUP r40-da-ammo-veteran-unit | Dark Angels Armoury — Ammunition | 
    LINK r40-da-ammo-veteran-unit-veteran-sp-ml | Stasis Shells — Missile (for Missile Launcher with Suspensor Web (replaces Bolter)) -> da22-stasis-missile | max=2 field=selections scope=parent
  GROUP r40-da-steel-transport-veteran-unit | Steel Fist — Armoured Assault Dedicated Transport | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | cost=250 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | cost=200 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | cost=305 | 
  GROUP r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-replace | Main Weapon Replacements | 
    ENTRY r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-laser | Two Laser Destroyers (replace both Quad Lascannons) | cost= | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-hf | Twin-linked Heavy Flamer (replaces Twin-linked Heavy Bolter) -> hsgear-tl-heavy-flamer | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-pintle | Pintle-mounted Weapon | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p0 | Twin-linked Bolter -> gear-tl-bolter | max=1 field=selections scope=parent
